Hotel,Overall Rating,Total Reviews,Cleanliness,Staff and Service,Amenities,Property Conditions and Facilities,Eco-Friendliness
Hotel Royal Oak,8.2 out of 10 Very good,893 verified reviews,8.4/10,9.0/10,8.2/10,7.8/10,8.8/10
"Holiday Inn Detroit Metro Airport, an IHG Hotel",8.6 out of 10 Excellent,919 verified reviews,9.0/10,8.8/10,8.2/10,8.8/10,8.6/10
American Inn and Suites Houghton Lake,8.2 out of 10 Very good,"1,005 verified reviews",8.2/10,8.6/10,8.0/10,7.8/10,8.2/10
"Holiday Inn Express South Haven, an IHG Hotel",9.6 out of 10 Exceptional,271 verified reviews,9.8/10,9.6/10,9.6/10,9.8/10,9.6/10
The Earl,9.4 out of 10 Exceptional,344 verified reviews,9.6/10,9.6/10,9.0/10,9.4/10,9.0/10
Best Western Greenfield Inn,8.4 out of 10 Very good,"1,001 verified reviews",8.6/10,8.8/10,8.6/10,8.4/10,8.4/10
Delta Hotels by Marriott Detroit Metro Airport,8.2 out of 10 Very good,"1,002 verified reviews",8.6/10,8.6/10,8.2/10,8.4/10,8.2/10
Days Inn by Wyndham Imlay City,8.6 out of 10 Excellent,682 verified reviews,9.0/10,8.8/10,8.6/10,8.6/10,8.6/10
Tamarack Lodge of Traverse City,9.2 out of 10 Wonderful,46 verified reviews,9.6/10,9.2/10,8.6/10,9.4/10,8.8/10
Baymont by Wyndham Holland,7.6 out of 10 Good,"1,004 verified reviews",7.8/10,8.0/10,7.0/10,7.4/10,7.6/10
Adoba Hotel Naubinway,8.0 out of 10 Very good,647 verified reviews,8.8/10,8.6/10,7.0/10,8.0/10,8.0/10
Red Roof Inn PLUS+ Ann Arbor - U of Michigan North,7.0 out of 10 Good,"1,000 verified reviews",7.2/10,8.0/10,6.4/10,6.6/10,6.8/10
Baymont by Wyndham Gaylord,8.0 out of 10 Very good,"1,001 verified reviews",8.2/10,8.6/10,7.8/10,7.6/10,8.0/10
Comfort Inn & Suites,8.6 out of 10 Excellent,"1,001 verified reviews",8.8/10,8.8/10,8.4/10,8.6/10,8.6/10
Best Western Plus Wayland Hotel,9.0 out of 10 Wonderful,231 verified reviews,9.4/10,9.2/10,9.0/10,9.2/10,9.0/10
Magnuson Grand Pioneer Inn and Suites,8.0 out of 10 Very good,854 verified reviews,8.4/10,8.6/10,7.4/10,7.8/10,7.6/10
Hampton Inn Grand Rapids-North,8.6 out of 10 Excellent,684 verified reviews,9.0/10,9.0/10,8.6/10,8.8/10,8.6/10
Comfort Inn Downtown,7.4 out of 10 Good,"1,002 verified reviews",7.2/10,8.4/10,7.0/10,7.0/10,6.8/10
"Country Inn & Suites by Radisson, Kalamazoo, MI",6.2 out of 10 Good,902 verified reviews,6.6/10,7.4/10,5.6/10,6.2/10,6.0/10
"Shoreline Inn & Conference Center, Ascend Hotel Collection",8.8 out of 10 Excellent,"1,001 verified reviews",9.0/10,9.2/10,8.4/10,8.6/10,8.6/10
"Fort Pontchartrain Detroit, a Wyndham Hotel",7.6 out of 10 Good,"1,621 verified reviews",8.0/10,8.2/10,7.4/10,7.6/10,7.8/10
Best Western Lakewinds,8.4 out of 10 Very good,"1,001 verified reviews",8.8/10,8.8/10,8.4/10,8.4/10,8.4/10
Delta Hotels by Marriott Detroit Novi,8.6 out of 10 Excellent,275 verified reviews,9.0/10,8.8/10,8.8/10,8.8/10,8.4/10
Comfort Inn & Suites Diamondale – Lansing,8.0 out of 10 Very good,375 verified reviews,8.2/10,8.6/10,7.2/10,7.8/10,7.4/10
Grand Traverse Resort And Spa,7.8 out of 10 Good,904 verified reviews,8.2/10,8.2/10,7.6/10,8.0/10,8.0/10
Best Western Plaza Hotel Saugatuck,7.8 out of 10 Good,926 verified reviews,8.2/10,8.2/10,7.8/10,7.6/10,8.0/10
Hyatt Place Grand Rapids-South,8.8 out of 10 Excellent,"1,001 verified reviews",9.0/10,9.0/10,8.4/10,9.0/10,8.8/10
The Comstock Inn and Conference Center,8.2 out of 10 Very good,629 verified reviews,8.2/10,8.8/10,7.6/10,7.8/10,7.6/10
"Country Inn & Suites by Radisson, Holland, MI",8.0 out of 10 Very good,"1,001 verified reviews",8.0/10,8.6/10,7.8/10,7.8/10,8.0/10
Quality Suites Lansing,9.0 out of 10 Wonderful,727 verified reviews,9.2/10,9.4/10,8.8/10,8.8/10,8.6/10
Elk Rapids Lakeshore Inn,8.6 out of 10 Excellent,396 verified reviews,9.0/10,9.2/10,8.0/10,8.6/10,8.4/10
Days Inn & Suites by Wyndham Mt Pleasant,7.6 out of 10 Good,"1,005 verified reviews",7.8/10,8.2/10,7.2/10,7.4/10,7.6/10
Old Harbor Inn,9.2 out of 10 Wonderful,377 verified reviews,9.4/10,9.4/10,8.6/10,9.0/10,8.8/10
Hampton Inn Detroit Southfield,9.4 out of 10 Exceptional,53 verified reviews,10.0/10,9.8/10,9.4/10,10.0/10,9.8/10
Super 8 by Wyndham Houghton,8.6 out of 10 Excellent,"1,001 verified reviews",9.0/10,8.8/10,8.4/10,8.6/10,8.4/10
"Holiday Inn Express & Suites Allen Park, an IHG Hotel",9.0 out of 10 Wonderful,"1,003 verified reviews",9.2/10,9.2/10,9.0/10,9.2/10,9.0/10
The Townsend Hotel,9.2 out of 10 Wonderful,492 verified reviews,9.6/10,9.4/10,9.0/10,9.4/10,9.2/10
Ramada by Wyndham Marquette,7.6 out of 10 Good,839 verified reviews,8.0/10,8.4/10,7.6/10,7.2/10,7.6/10
Days Inn by Wyndham Alpena,8.0 out of 10 Very good,"1,002 verified reviews",8.6/10,8.6/10,7.8/10,7.8/10,8.0/10
Days Inn by Wyndham Iron Mountain,7.8 out of 10 Good,811 verified reviews,8.2/10,8.6/10,7.0/10,7.6/10,7.4/10
Baymont by Wyndham Grand Rapids Airport,7.6 out of 10 Good,"1,001 verified reviews",7.6/10,8.2/10,7.2/10,7.2/10,7.2/10
Hyatt Place Flint / Grand Blanc,9.4 out of 10 Exceptional,277 verified reviews,9.6/10,9.4/10,9.4/10,9.6/10,9.4/10
Best Western Lapeer Inn,8.2 out of 10 Very good,510 verified reviews,8.4/10,8.8/10,8.0/10,8.0/10,8.0/10
Independence Stay,9.4 out of 10 Exceptional,377 verified reviews,9.8/10,9.4/10,9.0/10,9.8/10,9.4/10
Comfort Inn & Suites,9.6 out of 10 Exceptional,279 verified reviews,9.8/10,9.8/10,9.6/10,9.8/10,9.4/10
Home2 Suites By Hilton Grand Rapids South,9.6 out of 10 Exceptional,168 verified reviews,9.8/10,9.6/10,9.2/10,9.8/10,9.8/10
AmericInn by Wyndham Iron River,9.0 out of 10 Wonderful,298 verified reviews,9.2/10,9.2/10,9.0/10,8.8/10,9.0/10
Best Western of Harbor Springs,9.4 out of 10 Exceptional,871 verified reviews,9.6/10,9.6/10,9.4/10,9.6/10,9.2/10
AmericInn by Wyndham Oscoda Near AuSable River,8.6 out of 10 Excellent,177 verified reviews,8.8/10,9.2/10,7.4/10,8.4/10,7.6/10
Courtyard by Marriott Lansing,8.2 out of 10 Very good,487 verified reviews,8.6/10,8.6/10,7.4/10,8.2/10,8.0/10
Royal Park Hotel,9.4 out of 10 Exceptional,"1,000 verified reviews",9.6/10,9.4/10,9.0/10,9.6/10,9.2/10
"Holiday Inn & Suites Detroit - Troy, an IHG Hotel",8.6 out of 10 Excellent,125 verified reviews,9.0/10,9.0/10,8.8/10,9.2/10,8.8/10
"Country Inn & Suites by Radisson, Lansing, MI",7.6 out of 10 Good,"1,005 verified reviews",7.8/10,8.4/10,7.4/10,7.2/10,7.0/10
"Country Inn & Suites by Radisson, Grandville-Grand Rapids West, MI",8.4 out of 10 Very good,841 verified reviews,8.8/10,8.6/10,8.2/10,8.8/10,8.0/10
Four Points by Sheraton Kalamazoo,8.0 out of 10 Very good,734 verified reviews,8.4/10,8.6/10,7.6/10,8.0/10,8.0/10
adoba hotel Lockview,8.2 out of 10 Very good,"1,002 verified reviews",8.2/10,8.6/10,7.4/10,7.6/10,7.8/10
Somerset Inn,8.2 out of 10 Very good,"1,002 verified reviews",8.8/10,8.6/10,7.8/10,8.2/10,8.0/10
"Country Inn & Suites by Radisson, Houghton, MI",9.2 out of 10 Wonderful,887 verified reviews,9.6/10,9.4/10,9.4/10,9.4/10,9.2/10
Sheraton Detroit Novi Hotel,8.6 out of 10 Excellent,"1,002 verified reviews",8.8/10,8.8/10,8.2/10,8.8/10,8.6/10
Tru by Hilton Chesterfield Township Detroit,8.0 out of 10 Very good,73 verified reviews,8.8/10,8.2/10,8.6/10,8.6/10,8.8/10
Comfort Inn & Suites,8.4 out of 10 Very good,715 verified reviews,8.8/10,9.0/10,8.4/10,8.4/10,8.6/10
Drummond Island Resort,8.6 out of 10 Excellent,234 verified reviews,9.0/10,8.8/10,8.2/10,8.6/10,8.4/10
Wingate by Wyndham Brighton,7.6 out of 10 Good,"1,000 verified reviews",8.0/10,8.2/10,7.6/10,7.4/10,7.8/10
"Holiday Inn Express And Suites Detroit Dearborn, an IHG Hotel",8.4 out of 10 Very good,376 verified reviews,8.8/10,8.6/10,8.6/10,9.0/10,8.6/10
"Candlewood Suites Detroit Sterling Heights, an IHG Hotel",9.0 out of 10 Wonderful,178 verified reviews,9.4/10,9.0/10,8.6/10,9.4/10,9.2/10
Magnuson Country Inn Ishpeming,7.8 out of 10 Good,527 verified reviews,8.2/10,8.2/10,7.2/10,7.6/10,8.0/10
Comfort Suites Benton Harbor - St. Joseph,7.4 out of 10 Good,778 verified reviews,7.8/10,8.0/10,6.0/10,7.4/10,6.4/10
Big Bear Lodge,8.8 out of 10 Excellent,466 verified reviews,9.4/10,9.6/10,8.6/10,8.4/10,8.6/10
SpringHill Suites by Marriott Detroit Metro Airport Romulus,8.2 out of 10 Very good,"1,002 verified reviews",8.4/10,8.6/10,7.8/10,8.2/10,8.2/10
"Country Inn & Suites by Radisson, Dearborn, MI",6.8 out of 10 Good,"1,002 verified reviews",7.2/10,7.4/10,6.8/10,6.8/10,6.8/10
Home2 Suites By Hilton Grand Rapids Airport,9.0 out of 10 Wonderful,64 verified reviews,9.4/10,9.2/10,9.2/10,9.2/10,9.4/10
Residence Inn by Marriott Detroit Pontiac Auburn Hills,8.4 out of 10 Very good,379 verified reviews,8.6/10,8.8/10,7.8/10,8.2/10,8.4/10
Comfort Inn Birch Run - Frankenmuth,8.6 out of 10 Excellent,"1,001 verified reviews",8.6/10,9.0/10,8.4/10,8.6/10,8.6/10
Sonesta ES Suites Auburn Hills Detroit,8.6 out of 10 Excellent,958 verified reviews,8.6/10,9.0/10,8.0/10,8.6/10,8.0/10
Best Western Davison Inn,8.8 out of 10 Excellent,645 verified reviews,9.0/10,9.0/10,8.8/10,8.8/10,8.6/10
Hyatt Place Detroit/Auburn Hills,7.8 out of 10 Good,"1,002 verified reviews",8.2/10,8.4/10,7.8/10,8.0/10,7.6/10
Super 8 by Wyndham Big Rapids,7.6 out of 10 Good,766 verified reviews,7.6/10,8.2/10,7.6/10,7.4/10,7.6/10
Best Western Port Huron Blue Water Bridge,7.8 out of 10 Good,"1,004 verified reviews",8.0/10,8.6/10,7.4/10,7.4/10,7.2/10
Rodeway Inn,7.0 out of 10 Good,856 verified reviews,7.0/10,7.6/10,5.8/10,6.6/10,5.8/10
AmericInn by Wyndham Wetmore Munising,8.4 out of 10 Very good,"1,001 verified reviews",8.8/10,8.6/10,8.0/10,8.4/10,8.2/10
Sheraton Grand Rapids Airport Hotel,8.6 out of 10 Excellent,110 verified reviews,9.0/10,8.8/10,9.0/10,8.8/10,9.0/10
Best Western Plus of Birch Run/Frankenmuth,7.8 out of 10 Good,"1,001 verified reviews",8.2/10,8.4/10,7.6/10,7.6/10,7.8/10
"The Lakeview Hotel, Shanty Creek Resort",8.0 out of 10 Very good,701 verified reviews,8.4/10,8.2/10,8.0/10,7.6/10,7.8/10
American Inn & Suites Waterford,6.4 out of 10 Good,713 verified reviews,6.6/10,7.4/10,5.4/10,6.0/10,5.4/10
Hyatt Place Detroit Royal Oak,9.2 out of 10 Wonderful,632 verified reviews,9.4/10,9.4/10,8.8/10,9.4/10,9.2/10
Best Western DeWitt,8.2 out of 10 Very good,332 verified reviews,8.4/10,8.6/10,8.0/10,8.0/10,8.0/10
"Holiday Inn Express & Suites Marquette, an IHG Hotel",9.0 out of 10 Wonderful,"1,000 verified reviews",9.4/10,9.4/10,8.8/10,9.2/10,8.8/10
Alma Motel Alma,7.6 out of 10 Good,383 verified reviews,8.0/10,7.8/10,7.2/10,7.0/10,7.6/10
Dunes Express Inn & Suites,8.2 out of 10 Very good,434 verified reviews,8.2/10,8.8/10,8.2/10,8.0/10,8.0/10
Treetops Resort,7.6 out of 10 Good,267 verified reviews,8.0/10,8.2/10,8.0/10,7.4/10,8.2/10
Cherry Tree Inn & Suites,9.2 out of 10 Wonderful,"1,003 verified reviews",9.2/10,9.4/10,9.0/10,9.0/10,9.0/10
Comfort Inn Whitehall near Michigan's Adventure,8.2 out of 10 Very good,898 verified reviews,8.2/10,9.0/10,7.8/10,8.0/10,7.8/10
Comfort Inn Metro Airport,8.0 out of 10 Very good,"1,004 verified reviews",7.8/10,8.6/10,7.4/10,7.6/10,7.6/10
Hotel Frankfort & Restaurant,9.0 out of 10 Wonderful,621 verified reviews,9.4/10,9.4/10,8.6/10,8.8/10,8.8/10
