Hotel,Overall Rating,Total Reviews,Cleanliness,Staff and Service,Amenities,Property Conditions and Facilities,Eco-Friendliness
Ramada Hotel & Conference Center by Wyndham Grayling,7.0 out of 10 Good,"1,002 verified reviews",7.0/10,7.8/10,7.0/10,6.4/10,7.0/10
"Cityflatshotel - Port Huron, Ascend Hotel Collection",8.6 out of 10 Excellent,24 verified reviews,8.8/10,8.6/10,8.4/10,8.6/10,8.6/10
Radisson Hotel Southfield-Detroit,7.8 out of 10 Good,"1,004 verified reviews",8.0/10,8.2/10,7.6/10,7.8/10,7.8/10
MainStay Suites,9.6 out of 10 Exceptional,82 verified reviews,9.6/10,9.6/10,9.6/10,9.6/10,9.4/10
The Westin Southfield Detroit,8.0 out of 10 Very good,"1,006 verified reviews",8.4/10,8.4/10,8.0/10,8.4/10,8.4/10
Sonesta ES Suites Detroit Warren,8.0 out of 10 Very good,477 verified reviews,8.0/10,8.6/10,7.4/10,8.0/10,7.6/10
Comfort Inn Detroit - Troy,8.0 out of 10 Very good,199 verified reviews,8.0/10,8.4/10,7.4/10,7.8/10,7.8/10
American Inn and Suites Dundee,7.0 out of 10 Good,655 verified reviews,7.0/10,8.0/10,6.2/10,6.4/10,6.4/10
Budget Host Inn,8.0 out of 10 Very good,309 verified reviews,8.6/10,8.4/10,7.4/10,7.8/10,8.0/10
Woodspring Suites East Lansing - University Area,8.6 out of 10 Excellent,22 verified reviews,9.4/10,8.4/10,7.0/10,9.4/10,8.4/10
Baymont by Wyndham Downtown Detroit,5.0 out of 10,"1,001 verified reviews",5.0/10,6.4/10,4.4/10,4.6/10,5.0/10
Baymont by Wyndham Grand Rapids N/Walker,7.2 out of 10 Good,"1,003 verified reviews",7.4/10,8.0/10,6.8/10,7.0/10,7.0/10
"Americas Best Value Inn Charlotte, MI",7.8 out of 10 Good,455 verified reviews,8.0/10,8.4/10,7.6/10,7.6/10,8.2/10
WoodSpring Suites Grand Rapids Kentwood,8.4 out of 10 Very good,119 verified reviews,9.0/10,8.6/10,7.4/10,9.0/10,8.8/10
Radisson Plaza Hotel at Kalamazoo Center,8.8 out of 10 Excellent,"1,001 verified reviews",9.2/10,9.0/10,8.8/10,9.0/10,8.6/10
Quality Inn & Suites,7.0 out of 10 Good,428 verified reviews,7.2/10,7.8/10,5.8/10,6.8/10,6.2/10
"Country Inn & Suites by Radisson, Novi, MI",7.8 out of 10 Good,"1,006 verified reviews",7.8/10,8.0/10,7.6/10,7.8/10,7.8/10
"Holiday Inn Grand Rapids Airport, an IHG Hotel",8.4 out of 10 Very good,"1,002 verified reviews",8.6/10,8.8/10,8.2/10,8.4/10,8.4/10
Americas Best Value Inn Birch Run,8.2 out of 10 Very good,"1,003 verified reviews",8.4/10,8.8/10,7.6/10,8.0/10,8.0/10
Extended Stay America Suites - Detroit - Rochester Hills,7.0 out of 10 Good,268 verified reviews,7.4/10,7.2/10,6.4/10,7.6/10,5.6/10
Marvin's Garden Inn,6.6 out of 10 Good,902 verified reviews,7.0/10,6.8/10,5.8/10,6.6/10,5.8/10
Travelodge by Wyndham Romulus Detroit Airport,5.8 out of 10,"1,001 verified reviews",6.0/10,6.8/10,5.2/10,5.6/10,5.4/10
Americas Best Value Inn Marquette,6.8 out of 10 Good,"1,002 verified reviews",7.4/10,7.8/10,6.4/10,6.4/10,6.8/10
Extended Stay America Select Suites Detroit Sterling Heights,6.6 out of 10 Good,445 verified reviews,6.6/10,7.2/10,6.2/10,6.6/10,6.6/10
Best Western Detroit Livonia,8.0 out of 10 Very good,"1,003 verified reviews",8.2/10,8.6/10,7.8/10,7.8/10,8.0/10
Courtyard by Marriott Detroit Metropolitan Airport Romulus,8.4 out of 10 Very good,"1,001 verified reviews",8.8/10,8.8/10,7.8/10,8.4/10,8.2/10
Comfort Inn Wings Stadium,8.0 out of 10 Very good,"1,004 verified reviews",8.4/10,8.4/10,7.8/10,8.0/10,8.0/10
Extended Stay America Select Suites Detroit Novi Haggerty Rd,7.0 out of 10 Good,706 verified reviews,7.0/10,7.4/10,6.8/10,6.8/10,7.4/10
Great Wolf Lodge Traverse City,8.8 out of 10 Excellent,935 verified reviews,9.0/10,9.0/10,8.8/10,9.0/10,8.6/10
Quality Inn Detroit Downtown,5.4 out of 10,"1,000 verified reviews",5.4/10,7.0/10,4.8/10,4.8/10,5.0/10
Super 8 by Wyndham Escanaba,7.0 out of 10 Good,"1,002 verified reviews",7.2/10,7.6/10,6.6/10,6.6/10,6.4/10
Extended Stay America Select Suites - Grand Rapids - Wyoming,7.0 out of 10 Good,524 verified reviews,7.8/10,7.2/10,6.2/10,7.6/10,7.0/10
Quality Inn & Suites Warren - Detroit,8.0 out of 10 Very good,"1,000 verified reviews",8.4/10,8.4/10,7.0/10,8.0/10,7.6/10
Baymont by Wyndham Madison Heights Detroit Area,6.6 out of 10 Good,8 verified reviews,7.0/10,7.2/10,9.0/10,6.8/10,5.2/10
Red Roof Inn Detroit - Dearborn/Greenfield Village,6.8 out of 10 Good,"1,000 verified reviews",7.0/10,7.8/10,6.2/10,6.6/10,5.8/10
Gladstone Motel,8.0 out of 10 Very good,34 verified reviews,8.4/10,8.0/10,7.8/10,7.4/10,7.4/10
Best Western Woodhaven Inn,7.6 out of 10 Good,709 verified reviews,8.0/10,8.2/10,7.4/10,7.6/10,7.0/10
La Quinta Inn by Wyndham Detroit Canton,7.4 out of 10 Good,"1,001 verified reviews",7.4/10,8.2/10,6.8/10,7.0/10,6.6/10
Baymont by Wyndham Flat Rock,7.0 out of 10 Good,544 verified reviews,7.2/10,8.0/10,6.6/10,6.8/10,6.2/10
Extended Stay America Suites Detroit Metropolitan Airport,6.8 out of 10 Good,382 verified reviews,7.0/10,7.4/10,6.2/10,6.6/10,6.8/10
Maple Lane Empire,8.4 out of 10 Very good,198 verified reviews,8.6/10,8.4/10,7.6/10,8.2/10,8.4/10
Extended Stay America Suites Detroit Dearborn,6.6 out of 10 Good,548 verified reviews,7.0/10,7.4/10,6.4/10,6.6/10,6.2/10
Bayside Hotel of Mackinac,6.8 out of 10 Good,"1,001 verified reviews",6.8/10,7.4/10,6.2/10,6.4/10,6.8/10
Days Inn & Suites by Wyndham Roseville/Detroit Area,6.6 out of 10 Good,"1,001 verified reviews",6.8/10,7.6/10,6.6/10,6.6/10,6.0/10
Inn at the Alpine by Budget Host,8.6 out of 10 Excellent,348 verified reviews,9.2/10,9.4/10,8.0/10,8.4/10,8.6/10
Wyndham Garden Romulus Detroit Metro Airport,5.8 out of 10,"1,006 verified reviews",5.8/10,6.6/10,6.0/10,5.4/10,5.8/10
La Quinta Inn by Wyndham Detroit Southgate,6.8 out of 10 Good,"1,001 verified reviews",6.6/10,7.8/10,6.0/10,6.4/10,6.4/10
Village Suites Bay Harbor,8.8 out of 10 Excellent,339 verified reviews,9.2/10,8.8/10,8.4/10,8.8/10,8.8/10
The Inn At Harbor Shores,9.0 out of 10 Wonderful,746 verified reviews,9.4/10,9.2/10,8.8/10,9.2/10,8.8/10
Comfort Suites Auburn Hills-Detroit,6.8 out of 10 Good,884 verified reviews,6.8/10,7.4/10,5.2/10,6.4/10,5.2/10
Quality Inn & Suites,6.8 out of 10 Good,"1,000 verified reviews",6.8/10,7.8/10,6.4/10,6.4/10,5.6/10
Red Roof Inn Detroit - Roseville/ St Clair Shores,6.8 out of 10 Good,"1,001 verified reviews",7.0/10,7.6/10,6.2/10,6.8/10,6.4/10
Travelodge by Wyndham Lansing,6.4 out of 10 Good,601 verified reviews,6.2/10,7.8/10,5.6/10,6.0/10,5.8/10
Extended Stay America Suites Detroit Auburn Hills Feathersto,6.6 out of 10 Good,543 verified reviews,6.6/10,7.0/10,6.4/10,6.6/10,6.4/10
Magnuson Hotel Detroit Airport,6.0 out of 10 Good,663 verified reviews,6.0/10,7.0/10,5.8/10,5.6/10,6.2/10
Red Roof Inn Detroit-Rochester Hills/Auburn Hills,7.2 out of 10 Good,"1,002 verified reviews",7.2/10,7.8/10,6.4/10,7.0/10,6.2/10
Red Roof Inn Grand Rapids Airport,6.2 out of 10 Good,"1,000 verified reviews",6.2/10,7.0/10,5.4/10,6.0/10,5.4/10
Baymont by Wyndham Canton,5.6 out of 10,"1,000 verified reviews",5.4/10,7.0/10,5.8/10,5.2/10,5.2/10
Knights Inn Battle Creek,6.2 out of 10 Good,519 verified reviews,6.2/10,6.8/10,5.8/10,5.6/10,5.8/10
Clarion Inn I-94 near Expo Center,6.8 out of 10 Good,673 verified reviews,7.2/10,7.6/10,6.4/10,6.6/10,6.8/10
Sonesta Simply Suites Detroit Southfield,6.6 out of 10 Good,658 verified reviews,6.8/10,7.4/10,6.2/10,6.8/10,6.4/10
Wyndham Garden Grand Rapids Airport,5.4 out of 10,"1,002 verified reviews",5.4/10,6.6/10,5.4/10,5.2/10,5.2/10
Bay Valley Resort & Conference Centre,7.6 out of 10 Good,684 verified reviews,8.2/10,8.2/10,7.2/10,7.2/10,6.8/10
A Victory Inn & Suites - Ann Arbor,3.6 out of 10,"1,002 verified reviews",3.6/10,4.8/10,3.4/10,3.2/10,3.8/10
Comfort Inn Utica,8.6 out of 10 Excellent,"1,001 verified reviews",8.6/10,9.2/10,8.2/10,8.2/10,8.2/10
Radisson Hotel Grand Rapids Riverfront,6.8 out of 10 Good,"1,004 verified reviews",6.6/10,7.6/10,6.4/10,6.4/10,6.4/10
