Hotel,Overall Rating,Total Reviews,Cleanliness,Staff and Service,Amenities,Property Conditions and Facilities,Eco-Friendliness
Four Seasons Hotel Chicago,9.4 out of 10 Exceptional,"1,000 verified reviews",9.8/10,9.6/10,9.4/10,9.4/10,9.4/10
"voco Chicago Downtown, an IHG Hotel",8.8 out of 10 Excellent,"1,040 verified reviews",9.2/10,8.8/10,9.2/10,9.0/10,9.0/10
Hampton Inn Chicago Downtown/Magnificent Mile,8.4 out of 10 Very good,"1,061 verified reviews",8.4/10,8.8/10,7.8/10,8.0/10,8.2/10
Hampton Inn Majestic Chicago Theatre District,9.2 out of 10 Wonderful,"1,002 verified reviews",9.4/10,9.6/10,8.6/10,9.0/10,8.8/10
Hilton Garden Inn Chicago Central Loop,9.2 out of 10 Wonderful,703 verified reviews,9.6/10,9.2/10,8.8/10,9.6/10,9.0/10
Palmer House a Hilton Hotel,8.0 out of 10 Very good,"1,140 verified reviews",8.6/10,8.6/10,7.8/10,8.0/10,8.0/10
"The Ritz-Carlton, Chicago",9.2 out of 10 Wonderful,"1,001 verified reviews",9.6/10,9.4/10,9.0/10,9.2/10,9.2/10
Antioch Hotel & Suites,8.8 out of 10 Excellent,77 verified reviews,9.0/10,9.0/10,8.0/10,9.0/10,8.6/10
Ramada Limited Decatur,6.8 out of 10 Good,664 verified reviews,7.0/10,7.6/10,6.4/10,6.6/10,6.0/10
Best Western At O'Hare,7.2 out of 10 Good,"1,600 verified reviews",7.4/10,7.6/10,6.8/10,6.8/10,7.2/10
Loews Chicago Hotel,9.2 out of 10 Wonderful,"1,493 verified reviews",9.6/10,9.4/10,9.2/10,9.6/10,9.2/10
Hilton Garden Inn Chicago Downtown Riverwalk,9.0 out of 10 Wonderful,"1,794 verified reviews",9.2/10,9.2/10,8.4/10,9.0/10,8.6/10
Hilton Garden Inn Chicago Downtown South Loop,8.6 out of 10 Excellent,"1,659 verified reviews",9.0/10,8.6/10,8.4/10,9.0/10,8.6/10
Residence Inn by Marriott Chicago Downtown / River North,8.8 out of 10 Excellent,"1,005 verified reviews",9.0/10,9.0/10,8.4/10,8.8/10,8.6/10
Embassy Suites by Hilton E Peoria Riverfront Conf Center,8.2 out of 10 Very good,"1,080 verified reviews",8.2/10,8.8/10,8.2/10,8.0/10,8.4/10
Hampton Inn Collinsville,8.4 out of 10 Very good,622 verified reviews,8.8/10,8.8/10,8.4/10,8.4/10,8.6/10
Homewood Suites by Hilton Chicago-Downtown,8.4 out of 10 Very good,"1,001 verified reviews",8.6/10,8.8/10,8.0/10,8.2/10,8.4/10
Homewood Suites by Hilton Chicago Downtown/Magnificent Mile,8.4 out of 10 Very good,"1,002 verified reviews",8.6/10,8.8/10,8.2/10,8.4/10,8.0/10
Swissotel - Chicago,8.6 out of 10 Excellent,"2,034 verified reviews",9.2/10,8.8/10,8.4/10,9.0/10,8.8/10
"Holiday Inn Chicago Dwtn Wolf Point, an IHG Hotel",8.8 out of 10 Excellent,"1,006 verified reviews",9.2/10,9.0/10,8.6/10,9.0/10,9.0/10
Le Méridien Essex Chicago,8.4 out of 10 Very good,"1,001 verified reviews",9.2/10,8.8/10,8.4/10,9.0/10,8.6/10
Baymont by Wyndham Rockford,8.6 out of 10 Excellent,"1,004 verified reviews",8.8/10,8.8/10,8.2/10,8.4/10,8.6/10
Econo Lodge,8.2 out of 10 Very good,362 verified reviews,8.6/10,8.6/10,7.6/10,8.2/10,8.2/10
Park Hyatt Chicago,9.6 out of 10 Exceptional,962 verified reviews,9.6/10,9.6/10,9.6/10,9.4/10,9.2/10
Fairmont Chicago at Millennium Park Gold Experience,9.0 out of 10 Wonderful,94 verified reviews,9.4/10,9.2/10,9.0/10,9.0/10,9.0/10
Homewood Suites by Hilton Chicago Downtown South Loop,8.6 out of 10 Excellent,"1,754 verified reviews",8.8/10,8.6/10,8.4/10,8.8/10,8.8/10
Ramada by Wyndham Vandalia,7.8 out of 10 Good,662 verified reviews,8.0/10,8.6/10,7.4/10,7.6/10,7.6/10
Hyatt Place Chicago/River North,9.0 out of 10 Wonderful,"1,379 verified reviews",9.2/10,9.2/10,8.6/10,9.0/10,8.8/10
Hampton Inn Chicago Downtown/N Loop/Michigan Ave,8.4 out of 10 Very good,"1,084 verified reviews",8.6/10,8.8/10,8.2/10,8.4/10,8.2/10
Walker's Bluff Casino Resort,9.0 out of 10 Wonderful,98 verified reviews,9.8/10,9.2/10,8.6/10,9.6/10,9.0/10
Embassy Suites by Hilton Chicago Downtown Magnificent Mile,8.2 out of 10 Very good,"2,362 verified reviews",8.2/10,8.6/10,8.2/10,8.2/10,8.2/10
Home2 Suites by Hilton Chicago River North,8.4 out of 10 Very good,"1,415 verified reviews",8.8/10,8.6/10,8.2/10,8.6/10,8.6/10
Kasa Magnificent Mile Chicago,9.2 out of 10 Wonderful,194 verified reviews,9.4/10,9.0/10,8.6/10,9.2/10,9.0/10
Millennium Knickerbocker Chicago,7.8 out of 10 Good,"1,763 verified reviews",8.4/10,8.0/10,7.0/10,7.8/10,7.6/10
21c Museum Hotel Chicago,8.4 out of 10 Very good,"1,801 verified reviews",9.0/10,8.6/10,8.2/10,8.8/10,8.6/10
"theWit Chicago, a Hilton Hotel",8.8 out of 10 Excellent,"1,003 verified reviews",9.2/10,9.2/10,8.6/10,9.0/10,8.8/10
Baymont by Wyndham Effingham,7.8 out of 10 Good,698 verified reviews,8.2/10,8.4/10,7.6/10,7.4/10,7.6/10
Hawthorn Suites by Wyndham Bloomington,7.6 out of 10 Good,"1,001 verified reviews",7.2/10,8.2/10,7.4/10,7.2/10,7.6/10
Baymont by Wyndham Marion,8.0 out of 10 Very good,"1,001 verified reviews",8.0/10,8.4/10,7.4/10,7.6/10,7.8/10
Hilton Chicago,8.4 out of 10 Very good,"1,004 verified reviews",8.8/10,8.8/10,8.2/10,8.6/10,8.4/10
