Hotel,Overall Rating,Total Reviews,Cleanliness,Staff and Service,Amenities,Property Conditions and Facilities,Eco-Friendliness
Best Western Plus Green Mill Village Hotel & Suites,9.4 out of 10 Exceptional,565 verified reviews,9.6/10,9.6/10,9.2/10,9.6/10,9.2/10
"Country Inn & Suites by Radisson, Gurnee, IL",8.2 out of 10 Very good,"1,001 verified reviews",8.4/10,8.6/10,7.6/10,8.0/10,8.0/10
"Country Inn & Suites by Radisson, Hoffman Estates, IL",7.8 out of 10 Good,"1,002 verified reviews",8.0/10,8.0/10,8.0/10,7.8/10,7.8/10
"Holiday Inn Chicago North-Evanston, an IHG Hotel",8.0 out of 10 Very good,"1,002 verified reviews",8.4/10,8.4/10,7.8/10,8.0/10,8.0/10
The Inn at Old Nauvoo,8.8 out of 10 Excellent,222 verified reviews,9.0/10,9.2/10,8.0/10,8.4/10,8.6/10
Ramada by Wyndham Springfield North,9.2 out of 10 Wonderful,"1,000 verified reviews",9.2/10,9.4/10,9.0/10,9.2/10,9.0/10
Hotel Galena,9.8 out of 10 Exceptional,80 verified reviews,10.0/10,9.8/10,9.4/10,9.6/10,9.8/10
Chicago Club Inn & Suites,6.0 out of 10 Good,"1,006 verified reviews",5.8/10,6.8/10,5.8/10,5.6/10,6.2/10
"Country Inn & Suites by Radisson, Crystal Lake, IL",8.6 out of 10 Excellent,916 verified reviews,8.8/10,9.0/10,8.4/10,8.4/10,8.6/10
The Villa Toscana,7.6 out of 10 Good,412 verified reviews,8.0/10,8.2/10,6.0/10,7.6/10,6.0/10
Best Western Des Plaines Inn,7.6 out of 10 Good,"1,001 verified reviews",8.0/10,8.0/10,7.2/10,7.4/10,7.4/10
The Westin Chicago River North,9.2 out of 10 Wonderful,"1,000 verified reviews",9.4/10,9.2/10,8.6/10,9.2/10,9.0/10
Cobblestone Hotel & Suites - Newton,9.4 out of 10 Exceptional,270 verified reviews,9.6/10,9.4/10,8.8/10,9.4/10,8.8/10
"Country Inn & Suites by Radisson, Fairview Heights, IL",7.4 out of 10 Good,549 verified reviews,7.6/10,8.2/10,6.8/10,7.0/10,7.2/10
Red Roof Inn PLUS+ Chicago - Northbrook/ Deerfield,7.6 out of 10 Good,"1,000 verified reviews",8.0/10,8.2/10,6.8/10,7.6/10,7.6/10
Wyndham Garden Elk Grove Village/O'Hare,8.4 out of 10 Very good,"1,002 verified reviews",9.0/10,8.4/10,8.0/10,8.8/10,8.4/10
Best Western Chicago - Downers Grove,8.4 out of 10 Very good,"1,236 verified reviews",8.8/10,8.8/10,8.2/10,8.4/10,8.4/10
Courtyard by Marriott Chicago Glenview/Northbrook,8.6 out of 10 Excellent,891 verified reviews,9.0/10,9.0/10,8.0/10,8.6/10,8.2/10
Nauvoo Temple House Hotel,8.8 out of 10 Excellent,109 verified reviews,9.2/10,8.8/10,7.8/10,8.6/10,8.6/10
"Parke Regency Hotel & Conf Ctr, BW Signature Collection",8.2 out of 10 Very good,"1,003 verified reviews",8.6/10,8.8/10,8.0/10,8.2/10,8.2/10
Baymont by Wyndham Freeport,8.0 out of 10 Very good,531 verified reviews,8.2/10,8.8/10,8.0/10,7.8/10,8.2/10
The Champagne Lodge & Luxury Suites,8.4 out of 10 Very good,"1,004 verified reviews",8.6/10,8.8/10,8.4/10,8.4/10,8.4/10
Best Western Plus MidAmerica Hotel,9.0 out of 10 Wonderful,"1,001 verified reviews",9.2/10,9.0/10,8.6/10,9.0/10,9.0/10
Best Western Clearlake Plaza,8.4 out of 10 Very good,612 verified reviews,8.6/10,8.8/10,8.0/10,8.4/10,8.2/10
Extended Stay America Suites Chicago Itasca,7.6 out of 10 Good,750 verified reviews,7.8/10,7.8/10,7.0/10,7.6/10,7.8/10
Extended Stay America Suites Chicago Burr Ridge,7.4 out of 10 Good,820 verified reviews,7.4/10,7.8/10,7.2/10,7.2/10,7.2/10
Best Western Plus Bourbonnais Hotel & Suites,8.2 out of 10 Very good,265 verified reviews,8.6/10,8.6/10,8.4/10,8.4/10,8.4/10
"Country Inn & Suites by Radisson, Springfield, IL",8.4 out of 10 Very good,"1,002 verified reviews",8.6/10,8.8/10,8.2/10,8.4/10,8.2/10
Hyatt Rosemont,8.4 out of 10 Very good,"1,001 verified reviews",8.8/10,8.6/10,8.0/10,8.4/10,8.2/10
O'Hare Inn & Suites,5.8 out of 10,"1,002 verified reviews",6.0/10,6.6/10,5.2/10,5.6/10,5.4/10
Comfort Suites near I-80 and I-94,7.2 out of 10 Good,445 verified reviews,7.6/10,8.0/10,6.8/10,7.4/10,6.6/10
Sheraton Suites Chicago O'Hare,8.6 out of 10 Excellent,"1,001 verified reviews",9.0/10,9.0/10,8.4/10,8.8/10,8.8/10
Extended Stay America Select Suites Chicago Hanover Park,7.6 out of 10 Good,526 verified reviews,8.0/10,7.8/10,7.4/10,7.6/10,7.2/10
Howard Johnson by Wyndham Waukegan Great Lakes,7.2 out of 10 Good,529 verified reviews,7.4/10,8.2/10,6.8/10,6.8/10,7.4/10
Extended Stay America Suites Chicago Schaumburg I90,6.4 out of 10 Good,"1,001 verified reviews",6.6/10,7.0/10,5.8/10,6.4/10,5.8/10
Eighteen-Ninety Sleepover,9.6 out of 10 Exceptional,189 verified reviews,10.0/10,9.8/10,9.4/10,9.6/10,9.6/10
Extended Stay America Suites Chicago Romeoville Bollingbrook,7.0 out of 10 Good,444 verified reviews,7.0/10,7.6/10,6.8/10,6.8/10,7.0/10
Drury Inn & Suites St. Louis Collinsville,9.4 out of 10 Exceptional,"1,001 verified reviews",9.6/10,9.6/10,9.4/10,9.4/10,9.4/10
Comfort Inn & Suites,7.8 out of 10 Good,"1,001 verified reviews",8.4/10,8.4/10,7.4/10,8.0/10,7.4/10
AmericInn by Wyndham Moline Airport/Quad Cities,6.4 out of 10 Good,533 verified reviews,7.0/10,7.2/10,5.4/10,6.4/10,5.4/10
Bally's Quad Cities,8.6 out of 10 Excellent,569 verified reviews,9.0/10,8.6/10,7.6/10,8.8/10,8.4/10
Comfort Inn Hoffman Estates - Schaumburg,7.6 out of 10 Good,"1,000 verified reviews",8.0/10,8.0/10,7.0/10,7.6/10,7.2/10
MainStay Suites Chicago Schaumburg,7.6 out of 10 Good,"1,002 verified reviews",7.8/10,8.0/10,7.2/10,7.6/10,7.2/10
Best Western Plus Centralia Hotel & Suites,9.4 out of 10 Exceptional,420 verified reviews,9.8/10,9.6/10,9.4/10,9.8/10,9.4/10
La Quinta Inn & Suites by Wyndham Chicago Tinley Park,6.8 out of 10 Good,"1,002 verified reviews",7.0/10,7.6/10,6.4/10,6.6/10,6.4/10
Baymont by Wyndham Springfield IL,5.6 out of 10,"1,001 verified reviews",6.0/10,6.4/10,5.4/10,5.4/10,5.4/10
Hyatt Place Chicago/Naperville/Warrenville,8.4 out of 10 Very good,"1,000 verified reviews",8.8/10,8.8/10,8.2/10,8.6/10,8.4/10
Mark Twain Hotel,7.4 out of 10 Good,"1,003 verified reviews",7.6/10,8.4/10,7.0/10,7.0/10,7.4/10
Chicago Marriott Downtown Magnificent Mile,8.4 out of 10 Very good,"1,002 verified reviews",9.0/10,8.8/10,8.2/10,8.8/10,8.6/10
Sonesta Simply Suites Chicago Waukegan,8.6 out of 10 Excellent,"1,001 verified reviews",9.0/10,8.8/10,8.4/10,8.8/10,8.2/10
The Hoxton Chicago,9.0 out of 10 Wonderful,732 verified reviews,9.4/10,9.2/10,8.8/10,9.2/10,8.8/10
Graduate Evanston,8.6 out of 10 Excellent,"1,000 verified reviews",9.2/10,9.2/10,8.4/10,8.4/10,8.8/10
"EVEN Hotel Chicago Tinley Park-Conv Ctr, an IHG Hotel",8.6 out of 10 Excellent,"1,000 verified reviews",9.0/10,8.8/10,8.4/10,8.8/10,8.8/10
"Holiday Inn & Suites Chicago - Downtown, an IHG Hotel",7.8 out of 10 Good,"1,004 verified reviews",8.4/10,8.4/10,7.6/10,7.8/10,8.0/10
Wyndham Springfield City Centre,6.8 out of 10 Good,"1,001 verified reviews",7.4/10,7.4/10,6.2/10,6.4/10,6.6/10
Howard Johnson by Wyndham Elk Grove Village/Chicago O'Hare,6.8 out of 10 Good,"1,004 verified reviews",7.2/10,7.6/10,6.0/10,6.8/10,6.4/10
"Staybridge Suites, Lincolnshire, an IHG Hotel",8.8 out of 10 Excellent,896 verified reviews,8.8/10,9.0/10,8.6/10,8.6/10,8.4/10
Extended Stay America Suites Chicago Darien,7.4 out of 10 Good,587 verified reviews,7.6/10,7.6/10,7.4/10,7.2/10,7.4/10
Hyatt Place Chicago/ Schaumburg,8.6 out of 10 Excellent,"1,002 verified reviews",8.8/10,8.8/10,8.2/10,8.6/10,8.6/10
Sonesta Simply Suites Lansing,6.4 out of 10 Good,"1,001 verified reviews",6.4/10,7.2/10,6.4/10,6.4/10,5.8/10
Hyatt Regency Deerfield,8.6 out of 10 Excellent,"1,001 verified reviews",8.8/10,8.8/10,8.2/10,8.6/10,8.4/10
AmericInn by Wyndham Oswego,8.2 out of 10 Very good,421 verified reviews,8.4/10,8.6/10,7.6/10,8.0/10,7.2/10
"Hotel Indigo Naperville Riverwalk, an IHG Hotel",9.2 out of 10 Wonderful,908 verified reviews,9.6/10,9.4/10,8.8/10,9.6/10,9.2/10
Hampton Inn & Suites Downers Grove Chicago,9.2 out of 10 Wonderful,"1,001 verified reviews",9.4/10,9.2/10,9.0/10,9.4/10,9.0/10
Hyatt House Chicago Oak Brook,9.0 out of 10 Wonderful,"1,003 verified reviews",9.4/10,9.2/10,9.0/10,9.2/10,9.2/10
Best Western Plus Hawthorne Terrace Hotel,9.0 out of 10 Wonderful,"1,002 verified reviews",9.2/10,9.2/10,8.6/10,8.8/10,8.8/10
SpringHill Suites Chicago O'Hare by Marriott,8.4 out of 10 Very good,"1,002 verified reviews",8.6/10,8.8/10,8.4/10,8.4/10,8.4/10
Drury Inn & Suites Champaign,9.2 out of 10 Wonderful,"1,001 verified reviews",9.4/10,9.4/10,9.2/10,9.0/10,9.0/10
SpringHill Suites by Marriott Chicago Chinatown,9.4 out of 10 Exceptional,522 verified reviews,9.8/10,9.6/10,9.2/10,9.6/10,9.4/10
The Hotel at Midtown,9.0 out of 10 Wonderful,593 verified reviews,9.6/10,9.2/10,9.4/10,9.4/10,9.0/10
Chestnut Mountain Resort,8.4 out of 10 Very good,968 verified reviews,8.4/10,8.6/10,8.0/10,7.8/10,8.0/10
Sonesta Chicago O'Hare Airport Rosemont,8.4 out of 10 Very good,"1,469 verified reviews",8.8/10,8.8/10,8.4/10,8.6/10,8.6/10
The Guesthouse Hotel,9.8 out of 10 Exceptional,276 verified reviews,10.0/10,9.8/10,9.8/10,10.0/10,9.8/10
Sophy Hyde Park,9.6 out of 10 Exceptional,740 verified reviews,9.8/10,9.6/10,9.2/10,9.8/10,9.2/10
DoubleTree Suites by Hilton Htl & Conf Cntr Downers Grove,8.2 out of 10 Very good,"1,003 verified reviews",8.6/10,8.4/10,7.8/10,8.4/10,8.4/10
Hyatt Regency Schaumburg Chicago,8.0 out of 10 Very good,"1,001 verified reviews",8.2/10,8.4/10,7.6/10,8.0/10,8.0/10
Extended Stay America Select Suites Chicago O'Hare,6.6 out of 10 Good,"1,000 verified reviews",6.8/10,7.0/10,6.4/10,6.6/10,7.4/10
Hyatt Place Chicago-South/University Medical Center,9.0 out of 10 Wonderful,"1,002 verified reviews",9.2/10,9.0/10,8.4/10,9.2/10,8.8/10
Hyatt House Chicago Medical/University District,9.0 out of 10 Wonderful,570 verified reviews,9.2/10,9.2/10,8.8/10,9.2/10,8.8/10
"The Robey, Chicago, a Member of Design Hotels",9.0 out of 10 Wonderful,683 verified reviews,9.6/10,9.4/10,8.8/10,9.4/10,9.0/10
Hyatt House Chicago/Evanston,9.0 out of 10 Wonderful,"1,000 verified reviews",9.2/10,9.2/10,8.6/10,9.2/10,8.8/10
Hyatt Regency McCormick Place,8.8 out of 10 Excellent,"1,000 verified reviews",9.0/10,9.0/10,8.2/10,9.0/10,8.8/10
Hyatt Regency O'Hare Chicago,8.4 out of 10 Very good,"1,170 verified reviews",9.0/10,8.8/10,8.4/10,8.8/10,8.6/10
Carleton of Oak Park,8.8 out of 10 Excellent,"1,001 verified reviews",9.2/10,9.0/10,8.2/10,8.6/10,8.6/10
Studio 424,8.2 out of 10 Very good,31 verified reviews,8.8/10,8.6/10,7.6/10,8.0/10,8.0/10
Great Wolf Lodge Illinois,8.6 out of 10 Excellent,678 verified reviews,8.8/10,8.6/10,8.4/10,8.8/10,9.0/10
"Country Inn & Suites by Radisson, Tinley Park, IL",8.0 out of 10 Very good,"1,002 verified reviews",8.2/10,8.4/10,8.0/10,8.0/10,8.2/10
"Country Inn & Suites by Radisson, Romeoville, IL",8.8 out of 10 Excellent,"1,002 verified reviews",9.0/10,9.0/10,8.6/10,8.8/10,8.6/10
"Country Inn & Suites by Radisson, Marion, IL",8.4 out of 10 Very good,"1,001 verified reviews",8.4/10,8.8/10,8.2/10,8.4/10,8.2/10
