Hotel,Overall Rating,Total Reviews,Cleanliness,Staff and Service,Amenities,Property Conditions and Facilities,Eco-Friendliness
Embassy Suites by Hilton Cleveland Beachwood,7.0 out of 10 Good,"1,002 verified reviews",7.2/10,7.8/10,6.8/10,7.0/10,7.2/10
Cleveland Marriott East,8.8 out of 10 Excellent,822 verified reviews,9.0/10,8.8/10,8.8/10,9.0/10,9.0/10
Comfort Inn Cleveland Airport,7.0 out of 10 Good,251 verified reviews,6.8/10,7.6/10,6.4/10,6.6/10,6.8/10
Extended Stay America Suites Cleveland Beachwood Orange Pl N,6.0 out of 10 Good,"1,002 verified reviews",6.2/10,7.0/10,5.6/10,6.2/10,6.0/10
Hampton Inn & Suites Cleveland-Beachwood,9.0 out of 10 Wonderful,"1,000 verified reviews",9.0/10,9.2/10,8.8/10,9.0/10,8.8/10
Hampton Inn & Suites Cleveland-Airport/Middleburg Heights,8.6 out of 10 Excellent,753 verified reviews,9.0/10,8.8/10,8.2/10,8.6/10,8.6/10
Red Roof Inn Cleveland Airport-Middleburg Heights,6.8 out of 10 Good,"1,001 verified reviews",7.0/10,7.6/10,6.0/10,6.6/10,6.6/10
Drury Inn & Suites Cleveland Beachwood,9.4 out of 10 Exceptional,847 verified reviews,9.6/10,9.6/10,9.4/10,9.6/10,9.4/10
AC Hotel by Marriott Cleveland Beachwood,8.4 out of 10 Very good,191 verified reviews,9.2/10,8.8/10,8.6/10,9.2/10,8.4/10
"Crowne Plaza Cleveland Airport, an IHG Hotel",7.8 out of 10 Good,831 verified reviews,8.0/10,8.2/10,7.8/10,7.6/10,7.6/10
MainStay Suites Middleburg Heights Cleveland Airport,8.0 out of 10 Very good,479 verified reviews,8.4/10,8.6/10,7.6/10,8.0/10,7.8/10
Courtyard by Marriott Cleveland Airport South,8.2 out of 10 Very good,"1,000 verified reviews",8.4/10,8.6/10,7.8/10,8.2/10,7.8/10
Hampton Inn North Olmsted Cleveland Airport,9.2 out of 10 Wonderful,743 verified reviews,9.6/10,9.4/10,8.8/10,9.4/10,9.0/10
Hotel RL Cleveland Airport West,6.8 out of 10 Good,"1,002 verified reviews",6.8/10,7.6/10,6.2/10,6.4/10,6.8/10
La Quinta Inn & Suites by Wyndham Cleveland Airport West,6.2 out of 10 Good,"1,003 verified reviews",6.4/10,7.0/10,6.0/10,6.2/10,6.6/10
Extended Stay America Suites Cleveland Great Northern Mall,6.4 out of 10 Good,400 verified reviews,7.0/10,7.4/10,5.2/10,6.4/10,6.0/10
"Holiday Inn Cleveland-Mayfield, an IHG Hotel",8.8 out of 10 Excellent,618 verified reviews,9.2/10,9.0/10,8.4/10,8.8/10,8.8/10
Hilton Garden Inn Cleveland East/Mayfield Village,8.6 out of 10 Excellent,784 verified reviews,9.2/10,9.0/10,7.8/10,9.0/10,8.2/10
Quality Inn and Suites,6.6 out of 10 Good,549 verified reviews,6.8/10,7.6/10,5.8/10,6.2/10,6.6/10
Hampton Inn & Suites Oakwood Village-Cleveland,9.0 out of 10 Wonderful,849 verified reviews,9.4/10,9.2/10,8.8/10,9.4/10,9.0/10
Red Roof Inn Cleveland - Westlake,7.8 out of 10 Good,"1,002 verified reviews",7.8/10,8.4/10,7.0/10,7.8/10,7.4/10
Hampton Inn Cleveland-Westlake,8.2 out of 10 Very good,"1,001 verified reviews",8.6/10,8.8/10,8.0/10,8.0/10,8.0/10
DoubleTree by Hilton Cleveland - Westlake,7.2 out of 10 Good,"1,006 verified reviews",7.6/10,7.8/10,7.2/10,7.2/10,7.4/10
Hyatt Place Cleveland / Westlake / Crocker Park,9.4 out of 10 Exceptional,935 verified reviews,9.4/10,9.4/10,9.0/10,9.6/10,9.0/10
Sonesta ES Suites Cleveland Westlake,7.8 out of 10 Good,"1,001 verified reviews",7.8/10,8.2/10,7.6/10,7.8/10,7.2/10
Extended Stay America Suites Cleveland Westlake,7.0 out of 10 Good,495 verified reviews,7.4/10,7.4/10,6.6/10,7.0/10,6.4/10
Hampton Inn Cleveland-Solon,9.0 out of 10 Wonderful,859 verified reviews,9.2/10,9.4/10,8.8/10,9.0/10,9.0/10
TownePlace Suites by Marriott Cleveland Solon,9.2 out of 10 Wonderful,268 verified reviews,9.4/10,9.4/10,9.2/10,9.4/10,9.2/10
Homewood Suites by Hilton Cleveland-Solon,8.0 out of 10 Very good,616 verified reviews,8.2/10,8.6/10,7.8/10,8.2/10,7.6/10
Best Western Plus Strongsville Cleveland,6.6 out of 10 Good,"1,001 verified reviews",6.8/10,7.2/10,6.0/10,6.6/10,7.0/10
SkyLight Inn Cleveland - Willoughby,6.0 out of 10 Good,"1,003 verified reviews",6.0/10,7.0/10,5.6/10,5.8/10,5.8/10
Willow Lodge Willoughby – Cleveland Mentor,6.6 out of 10 Good,392 verified reviews,6.6/10,7.2/10,5.8/10,6.2/10,6.8/10
Courtyard by Marriott Cleveland Willoughby,8.4 out of 10 Very good,499 verified reviews,8.6/10,8.8/10,7.4/10,8.4/10,8.2/10
"Motel 6 Richfield, OH",6.4 out of 10 Good,536 verified reviews,6.6/10,7.2/10,5.4/10,6.2/10,6.0/10
Four Points by Sheraton Cleveland-Eastlake,8.4 out of 10 Very good,346 verified reviews,8.8/10,8.6/10,7.6/10,8.8/10,8.4/10
"Comfort Inn, Cleveland South - Richfield",7.4 out of 10 Good,636 verified reviews,7.8/10,7.6/10,7.2/10,7.4/10,7.4/10
La Quinta Inn & Suites by Wyndham Cleveland Macedonia,7.8 out of 10 Good,"1,001 verified reviews",7.6/10,8.6/10,7.8/10,7.6/10,7.8/10
Quality Inn & Suites,7.2 out of 10 Good,999 verified reviews,7.0/10,8.0/10,7.2/10,6.8/10,7.0/10
Wyndham Avon,8.8 out of 10 Excellent,"1,003 verified reviews",9.2/10,9.2/10,8.4/10,9.2/10,8.4/10
"Country Inn & Suites by Radisson, Macedonia, OH",7.8 out of 10 Good,"1,005 verified reviews",8.0/10,8.8/10,7.6/10,7.6/10,7.6/10
Hilton Garden Inn Cleveland/Twinsburg,9.0 out of 10 Wonderful,608 verified reviews,9.2/10,9.2/10,8.4/10,9.0/10,9.0/10
Super 8 by Wyndham Twinsburg/Cleveland Area,7.2 out of 10 Good,670 verified reviews,7.2/10,7.6/10,6.6/10,6.8/10,7.0/10
Comfort Suites Twinsburg,8.0 out of 10 Very good,549 verified reviews,8.2/10,8.6/10,7.6/10,7.8/10,7.8/10
Fairfield Inn & Suites by Marriott Cleveland Avon,8.4 out of 10 Very good,416 verified reviews,8.6/10,8.8/10,7.8/10,8.4/10,8.2/10
Quality Inn Brunswick Cleveland South,8.0 out of 10 Very good,536 verified reviews,8.4/10,8.6/10,7.6/10,7.8/10,8.0/10
Mentor Home Inn,6.0 out of 10 Good,529 verified reviews,6.0/10,6.8/10,5.2/10,5.6/10,5.8/10
Comfort Suites,9.4 out of 10 Exceptional,304 verified reviews,9.6/10,9.6/10,9.2/10,9.6/10,9.2/10
Tall Oaks Resort,9.6 out of 10 Exceptional,7 verified reviews,10.0/10,9.0/10,10.0/10,9.4/10,10.0/10
Super 8 by Wyndham Mentor/Cleveland Area,7.0 out of 10 Good,725 verified reviews,7.0/10,7.6/10,6.8/10,6.6/10,7.4/10
"Holiday Inn Cleveland Northeast - Mentor, an IHG Hotel",8.4 out of 10 Very good,621 verified reviews,8.6/10,8.6/10,8.6/10,8.4/10,8.6/10
Suburban Studios Mentor - Cleveland Northeast,6.8 out of 10 Good,269 verified reviews,6.6/10,7.6/10,6.4/10,6.6/10,6.2/10
Homewood Suites by Hilton Cleveland/Sheffield,9.0 out of 10 Wonderful,688 verified reviews,9.0/10,9.0/10,8.8/10,9.2/10,8.4/10
Best Western Plus Mentor-Cleveland Northeast,9.2 out of 10 Wonderful,895 verified reviews,9.4/10,9.6/10,8.8/10,9.2/10,9.0/10
The Aurora Inn,8.8 out of 10 Excellent,292 verified reviews,9.2/10,9.2/10,8.6/10,8.6/10,8.6/10
Best Western Inn,8.0 out of 10 Very good,"1,004 verified reviews",8.0/10,8.6/10,7.8/10,7.8/10,7.8/10
Courtyard by Marriott Cleveland Elyria,8.8 out of 10 Excellent,417 verified reviews,9.2/10,9.0/10,8.8/10,9.4/10,9.0/10
Red Roof Inn & Suites Cleveland - Elyria,6.4 out of 10 Good,"1,000 verified reviews",6.2/10,7.6/10,5.6/10,6.0/10,5.6/10
Hampton Inn & Suites Elyria,8.6 out of 10 Excellent,"1,000 verified reviews",9.0/10,8.8/10,8.4/10,8.8/10,8.4/10
Quality Inn,6.8 out of 10 Good,313 verified reviews,6.8/10,7.6/10,6.8/10,6.2/10,7.0/10
Sprucewood Inn,6.8 out of 10 Good,467 verified reviews,6.8/10,8.0/10,6.8/10,6.4/10,6.8/10
Towneplace Suites By Marriott Streetsboro,8.6 out of 10 Excellent,226 verified reviews,8.8/10,9.2/10,8.4/10,8.6/10,8.4/10
Fairfield Inn & Suites by Marriott Cleveland Streetsboro,8.6 out of 10 Excellent,489 verified reviews,9.0/10,9.0/10,8.2/10,8.6/10,8.6/10
Hampton Inn & Suites Cleveland Southeast/Streetsboro,9.0 out of 10 Wonderful,769 verified reviews,9.2/10,9.2/10,8.6/10,9.0/10,8.8/10
Hampton Inn Stow,9.0 out of 10 Wonderful,"1,000 verified reviews",9.2/10,9.2/10,8.8/10,9.0/10,8.8/10
Home2 Suites by Hilton Stow,9.0 out of 10 Wonderful,486 verified reviews,9.4/10,9.2/10,9.0/10,9.4/10,9.2/10
Comfort Inn & Suites Streetsboro - Kent,8.0 out of 10 Very good,402 verified reviews,8.2/10,8.6/10,8.0/10,7.8/10,8.2/10
Quality Inn,7.4 out of 10 Good,524 verified reviews,7.8/10,7.8/10,7.0/10,7.4/10,7.0/10
"Motel 6 Streetsboro, OH",7.4 out of 10 Good,"1,000 verified reviews",7.6/10,8.0/10,6.6/10,7.2/10,7.4/10
Residence Inn By Marriott Cleveland Mentor,9.2 out of 10 Wonderful,289 verified reviews,9.2/10,9.4/10,8.6/10,9.2/10,8.6/10
Hampton Inn & Suites Cleveland Mentor,8.6 out of 10 Excellent,568 verified reviews,9.2/10,9.0/10,8.2/10,8.8/10,8.2/10
Extended Stay America Select Suites - Cleveland - Mentor,6.0 out of 10 Good,482 verified reviews,7.0/10,6.6/10,5.6/10,6.6/10,6.0/10
Hampton Inn Medina,9.0 out of 10 Wonderful,707 verified reviews,9.2/10,9.2/10,8.8/10,9.0/10,8.8/10
Red Roof Inn Cleveland - Medina,7.0 out of 10 Good,743 verified reviews,7.2/10,7.6/10,6.4/10,6.8/10,7.2/10
"Motel 6 Medina, OH - Cleveland",6.2 out of 10 Good,446 verified reviews,6.8/10,7.4/10,5.6/10,6.4/10,6.4/10
"Holiday Inn Express & Suites Medina, an IHG Hotel",9.4 out of 10 Exceptional,484 verified reviews,9.8/10,9.6/10,9.4/10,9.6/10,9.4/10
Super 8 by Wyndham Medina,7.8 out of 10 Good,699 verified reviews,8.0/10,8.2/10,7.4/10,7.6/10,7.8/10
Comfort Inn,8.4 out of 10 Very good,729 verified reviews,8.8/10,8.8/10,7.8/10,8.4/10,8.4/10
"Holiday Inn Express And Suites Painesville - Concord, an IHG Hotel",9.4 out of 10 Exceptional,645 verified reviews,9.8/10,9.6/10,9.4/10,9.8/10,9.4/10
"Motel 6 Amherst, OH - Cleveland West - Lorain",6.0 out of 10 Good,489 verified reviews,6.4/10,6.8/10,5.4/10,6.0/10,5.8/10
Steele Mansion,10 out of 10 Exceptional,338 verified reviews,10.0/10,10.0/10,9.8/10,10.0/10,9.6/10
