Hotel,Overall Rating,Total Reviews,Cleanliness,Staff and Service,Amenities,Property Conditions and Facilities,Eco-Friendliness
"Country Inn & Suites by Radisson, Chambersburg, PA",7.8 out of 10 Good,"1,001 verified reviews",8.0/10,8.4/10,7.6/10,8.0/10,7.6/10
Silver Birches,8.6 out of 10 Excellent,197 verified reviews,8.8/10,9.0/10,8.2/10,8.4/10,8.4/10
Super 8 by Wyndham Bedford,7.6 out of 10 Good,680 verified reviews,8.0/10,8.2/10,7.2/10,7.6/10,7.8/10
Philadelphia Marriott Downtown,8.4 out of 10 Very good,"1,033 verified reviews",9.0/10,8.8/10,8.0/10,8.6/10,8.4/10
Hilton Garden Inn Philadelphia Ft. Washington,8.6 out of 10 Excellent,897 verified reviews,9.0/10,8.8/10,8.0/10,8.6/10,8.2/10
"Allentown Park Hotel, Ascend Hotel Collection",8.4 out of 10 Very good,"1,001 verified reviews",8.6/10,8.8/10,7.8/10,8.2/10,7.8/10
Days Inn by Wyndham Indiana PA Near IUP,7.0 out of 10 Good,749 verified reviews,7.2/10,7.4/10,5.6/10,7.0/10,6.0/10
The Arco powered by Sonder,8.4 out of 10 Very good,"1,000 verified reviews",8.8/10,8.4/10,7.8/10,8.6/10,8.0/10
Comfort Inn & Suites,8.0 out of 10 Very good,874 verified reviews,8.0/10,8.4/10,7.2/10,8.0/10,6.8/10
SureStay Plus by Best Western Jonestown Lebanon Valley,8.0 out of 10 Very good,865 verified reviews,8.2/10,8.2/10,7.4/10,7.8/10,7.8/10
Clarion Inn Pittsburgh Cranberry,8.6 out of 10 Excellent,"1,001 verified reviews",8.4/10,8.8/10,8.0/10,8.0/10,8.0/10
Days Inn by Wyndham Somerset PA I-70 I-76,7.8 out of 10 Good,"1,002 verified reviews",8.0/10,8.4/10,7.2/10,7.4/10,7.4/10
Sonesta Simply Suites PHI Willow Grove,7.8 out of 10 Good,"1,003 verified reviews",8.0/10,8.0/10,7.2/10,7.8/10,7.2/10
Elker Inn & Suites,9.4 out of 10 Exceptional,20 verified reviews,9.8/10,9.6/10,9.4/10,10.0/10,9.6/10
Best Western Grove City Inn,7.6 out of 10 Good,"1,003 verified reviews",8.0/10,8.2/10,7.4/10,7.4/10,7.2/10
"Holiday Inn Express Greencastle, an IHG Hotel",8.4 out of 10 Very good,409 verified reviews,8.6/10,8.8/10,8.2/10,8.4/10,8.4/10
Weathervane Motor Court,9.0 out of 10 Wonderful,707 verified reviews,9.2/10,9.2/10,7.6/10,8.8/10,8.4/10
Jefferson Hills Motel,8.8 out of 10 Excellent,496 verified reviews,9.2/10,9.2/10,8.0/10,8.8/10,8.4/10
The Inn at Mountainview,8.0 out of 10 Very good,955 verified reviews,8.0/10,8.6/10,7.2/10,7.6/10,7.8/10
Microtel Inn & Suites By Wyndham Altoona,9.0 out of 10 Wonderful,"1,001 verified reviews",9.2/10,9.2/10,8.6/10,9.2/10,9.0/10
Microtel Inn & Suites By Wyndham Beaver Falls,9.0 out of 10 Wonderful,687 verified reviews,9.2/10,9.2/10,8.2/10,9.2/10,8.8/10
Best Western Garden Inn,8.6 out of 10 Excellent,423 verified reviews,8.6/10,8.8/10,8.4/10,8.6/10,8.6/10
Mainstay Inn,7.4 out of 10 Good,726 verified reviews,7.4/10,8.2/10,6.8/10,6.6/10,7.4/10
Wilkes-Barre Inn and Suites,5.2 out of 10,490 verified reviews,4.8/10,6.0/10,4.2/10,4.6/10,5.2/10
Comfort Inn Amish Country,8.8 out of 10 Excellent,767 verified reviews,9.0/10,9.0/10,8.2/10,8.6/10,8.4/10
"Holiday Inn Express & Suites Allentown West, an IHG Hotel",8.2 out of 10 Very good,"1,001 verified reviews",8.2/10,8.8/10,8.2/10,8.0/10,8.2/10
Days Inn & Suites by Wyndham York,6.2 out of 10 Good,"1,001 verified reviews",6.2/10,7.0/10,5.4/10,5.8/10,6.0/10
"My Place Hotel - Pittsburgh North/Monaca, PA",8.4 out of 10 Very good,239 verified reviews,8.6/10,8.6/10,8.0/10,8.6/10,8.4/10
Red Roof Inn Wilkes-Barre Arena,7.2 out of 10 Good,"1,004 verified reviews",7.6/10,7.4/10,6.6/10,7.0/10,7.2/10
Best Western Shippensburg Hotel,7.8 out of 10 Good,687 verified reviews,8.0/10,8.6/10,7.8/10,7.6/10,7.8/10
Days Inn by Wyndham Donegal,7.4 out of 10 Good,805 verified reviews,7.8/10,8.0/10,6.6/10,7.2/10,7.0/10
YOWIE (Hotel & Shop),9.4 out of 10 Exceptional,9 verified reviews,9.8/10,9.6/10,8.6/10,9.6/10,9.6/10
Red Roof Inn Philadelphia - Oxford Valley,6.4 out of 10 Good,"1,002 verified reviews",6.8/10,7.0/10,6.0/10,6.4/10,5.8/10
Red Roof Inn Philadelphia - Trevose,5.4 out of 10,"1,002 verified reviews",5.6/10,6.0/10,5.2/10,5.2/10,5.4/10
Pocono Resort Conference Center - POCONO MOUNTAINS,6.6 out of 10 Good,759 verified reviews,6.6/10,7.4/10,6.2/10,6.0/10,6.0/10
Extended Stay America Suites Allentown Bethlehem,7.0 out of 10 Good,861 verified reviews,7.2/10,7.6/10,7.0/10,7.2/10,7.8/10
Comfort Inn Meadowlands,7.6 out of 10 Good,335 verified reviews,7.8/10,8.4/10,7.8/10,7.6/10,8.0/10
Royal Inn Clearfield,7.8 out of 10 Good,548 verified reviews,8.0/10,8.2/10,6.8/10,7.4/10,7.2/10
Red Roof Inn Reading,7.2 out of 10 Good,214 verified reviews,7.4/10,7.8/10,6.4/10,7.0/10,7.4/10
Fairfield Inn & Suites Wilkes-Barre Scranton,8.6 out of 10 Excellent,707 verified reviews,8.8/10,9.0/10,8.2/10,8.6/10,8.4/10
Quality Inn,8.4 out of 10 Very good,845 verified reviews,8.6/10,9.0/10,7.6/10,8.0/10,7.6/10
Host Inn All Suites,7.0 out of 10 Good,"1,002 verified reviews",7.0/10,8.0/10,6.4/10,6.8/10,6.2/10
"Red Roof Inn Danville, PA",7.4 out of 10 Good,"1,001 verified reviews",7.4/10,8.2/10,7.0/10,7.2/10,7.2/10
Red Roof Inn Allentown South,7.0 out of 10 Good,618 verified reviews,7.4/10,7.2/10,7.4/10,6.8/10,7.6/10
Red Roof Inn PLUS+ Pittsburgh South - Airport,6.6 out of 10 Good,"1,001 verified reviews",6.4/10,7.2/10,5.8/10,6.4/10,6.2/10
Super 8 by Wyndham Pittsburgh Airport/Coraopolis Area,6.2 out of 10 Good,"1,001 verified reviews",6.2/10,7.2/10,5.4/10,5.8/10,6.2/10
Best Western Plus Philadelphia Bensalem Hotel,7.0 out of 10 Good,"1,003 verified reviews",7.4/10,7.8/10,6.6/10,6.8/10,6.8/10
Quality Inn & Suites,8.8 out of 10 Excellent,170 verified reviews,8.8/10,9.2/10,8.4/10,8.6/10,8.4/10
Red Roof Inn PLUS+ Pittsburgh East - Monroeville,6.6 out of 10 Good,"1,000 verified reviews",6.6/10,7.4/10,6.2/10,6.4/10,6.4/10
Comfort Inn Feasterville - Trevose,7.0 out of 10 Good,"1,004 verified reviews",7.2/10,7.8/10,6.4/10,6.6/10,6.4/10
Days Inn by Wyndham Blairsville,7.4 out of 10 Good,374 verified reviews,7.6/10,7.8/10,7.4/10,7.4/10,7.8/10
Microtel Inn & Suites by Wyndham Pittsburgh Airport,7.0 out of 10 Good,"1,002 verified reviews",7.2/10,7.2/10,7.0/10,7.0/10,6.8/10
Extended Stay America Suites WilkesBarre Hwy 315,7.2 out of 10 Good,503 verified reviews,7.2/10,8.0/10,6.4/10,7.2/10,7.0/10
Super 8 by Wyndham New Stanton,8.0 out of 10 Very good,828 verified reviews,8.2/10,8.4/10,7.6/10,7.8/10,8.0/10
Econo Lodge Pittsburgh I-79,7.6 out of 10 Good,240 verified reviews,7.8/10,7.8/10,7.2/10,7.2/10,7.4/10
Comfort Inn Horsham - Philadelphia,7.2 out of 10 Good,"1,001 verified reviews",7.4/10,7.4/10,7.0/10,7.0/10,7.4/10
Extended Stay America Suites Pittsburgh Airport,6.6 out of 10 Good,349 verified reviews,6.8/10,7.2/10,7.0/10,6.6/10,6.8/10
Red Roof Inn Greensburg,8.2 out of 10 Very good,567 verified reviews,8.2/10,8.4/10,7.2/10,8.0/10,7.8/10
Extended Stay America Select Suites - Pittsburgh - Cranberry,7.2 out of 10 Good,482 verified reviews,7.4/10,7.6/10,6.0/10,7.6/10,6.4/10
Super 8 by Wyndham Erie/I 90,6.4 out of 10 Good,"1,001 verified reviews",6.6/10,7.4/10,6.2/10,5.8/10,6.0/10
Knights Inn Trevose,6.2 out of 10 Good,"1,000 verified reviews",6.4/10,6.4/10,6.4/10,6.0/10,6.8/10
Howard Johnson Hotel & Suites by Wyndham Allentown/Dorney,5.8 out of 10,"1,003 verified reviews",5.8/10,6.6/10,5.8/10,5.6/10,6.0/10
Suburban Studios Monaca - Pittsburgh,8.4 out of 10 Very good,131 verified reviews,8.4/10,8.6/10,7.0/10,8.6/10,7.8/10
Rodeway Inn,7.2 out of 10 Good,543 verified reviews,7.0/10,8.2/10,6.6/10,6.8/10,6.8/10
Relax Inn,7.2 out of 10 Good,283 verified reviews,7.4/10,7.8/10,6.0/10,6.6/10,6.8/10
Quality Inn & Suites Conference Center Across from Casino,6.0 out of 10 Good,"1,001 verified reviews",6.0/10,7.0/10,5.8/10,5.2/10,5.4/10
Econo Lodge Johnstown Downtown,6.8 out of 10 Good,477 verified reviews,7.2/10,7.8/10,6.4/10,6.6/10,6.6/10
Ohiopyle Suites,8.8 out of 10 Excellent,3 verified reviews,9.4/10,8.0/10,8.0/10,8.0/10,8.0/10
Extended Stay America Suites Philadelphia King of Prussia,5.8 out of 10,"1,003 verified reviews",6.0/10,6.8/10,5.6/10,5.8/10,5.8/10
Extended Stay America Suites Philadelphia Airport Tinicum Bl,4.2 out of 10,"1,003 verified reviews",4.4/10,5.6/10,4.2/10,4.2/10,4.8/10
Goodseed Suites Philadelphia Center,8.4 out of 10 Very good,19 verified reviews,9.6/10,9.4/10,8.4/10,9.2/10,9.0/10
Stottsville Inn,9.2 out of 10 Wonderful,190 verified reviews,9.2/10,9.6/10,8.8/10,9.0/10,8.8/10
The Liberty Lodge Williamsport,8.4 out of 10 Very good,351 verified reviews,8.4/10,8.6/10,7.6/10,8.4/10,7.0/10
