Hotel,Overall Rating,Total Reviews,Cleanliness,Staff and Service,Amenities,Property Conditions and Facilities,Eco-Friendliness
AmishView Inn and Suites,10 out of 10 Exceptional,"1,001 verified reviews",10.0/10,10.0/10,9.8/10,10.0/10,9.6/10
Days Inn by Wyndham Gettysburg,8.4 out of 10 Very good,"1,000 verified reviews",8.4/10,8.8/10,7.8/10,8.2/10,8.4/10
The Inn at Hershey Farm,8.8 out of 10 Excellent,907 verified reviews,8.8/10,9.2/10,8.8/10,8.6/10,9.0/10
Aspire Gettysburg Hotel,7.6 out of 10 Good,818 verified reviews,7.8/10,8.0/10,7.0/10,7.2/10,7.8/10
Heritage Hotel Lancaster,8.4 out of 10 Very good,"1,000 verified reviews",8.6/10,8.6/10,8.2/10,8.2/10,8.2/10
Grand Eastonian Hotel & Suites,8.6 out of 10 Excellent,"1,002 verified reviews",9.0/10,8.8/10,8.4/10,8.6/10,8.6/10
"Country Inn & Suites by Radisson, Lewisburg, PA",9.6 out of 10 Exceptional,"1,002 verified reviews",9.8/10,9.8/10,9.2/10,9.6/10,9.2/10
Best Western Plus Revere Inn & Suites,9.2 out of 10 Wonderful,"1,001 verified reviews",9.2/10,9.4/10,9.0/10,9.0/10,9.0/10
Inn of the Dove Romantic Suites with Jetted Tub & Fireplace,8.4 out of 10 Very good,"1,003 verified reviews",8.0/10,8.6/10,8.0/10,8.0/10,8.2/10
Altland House Inn and Suites,9.2 out of 10 Wonderful,310 verified reviews,9.4/10,9.2/10,9.2/10,8.8/10,9.2/10
Chateau Resort & Conference Center,6.8 out of 10 Good,"1,001 verified reviews",6.8/10,7.6/10,6.2/10,6.0/10,6.8/10
Sonesta Philadelphia Rittenhouse Square,8.4 out of 10 Very good,"1,482 verified reviews",8.8/10,8.8/10,8.2/10,8.6/10,8.4/10
Pocono Palace Resort,8.2 out of 10 Very good,"1,002 verified reviews",8.2/10,8.6/10,8.0/10,7.8/10,8.4/10
Extended Stay America Premier Suites Pittsburgh Cranberry To,7.8 out of 10 Good,"1,001 verified reviews",8.0/10,8.4/10,7.8/10,7.8/10,7.4/10
"Country Inn & Suites by Radisson, Harrisburg West Mechanicsburg",8.4 out of 10 Very good,"1,001 verified reviews",8.4/10,8.8/10,8.0/10,8.2/10,8.0/10
Drury Inn & Suites Pittsburgh Airport Settlers Ridge,9.6 out of 10 Exceptional,"1,000 verified reviews",9.8/10,9.8/10,9.4/10,9.8/10,9.4/10
Cartoon Network Hotel,7.4 out of 10 Good,"1,444 verified reviews",7.4/10,7.8/10,7.4/10,7.4/10,7.6/10
Homewood Suites by Hilton Carlisle,9.4 out of 10 Exceptional,97 verified reviews,9.4/10,9.8/10,9.2/10,9.4/10,9.4/10
The Shawnee Inn and Golf Resort,7.6 out of 10 Good,"1,001 verified reviews",7.6/10,8.4/10,7.6/10,6.8/10,7.8/10
