Hotel,Overall Rating,Total Reviews,Cleanliness,Staff and Service,Amenities,Property Conditions and Facilities,Eco-Friendliness
"The Westin Washington, DC Downtown",8.6 out of 10 Excellent,"1,003 verified reviews",9.0/10,9.0/10,8.4/10,8.8/10,8.6/10
The Royal Sonesta Washington DC Capitol Hill,9.2 out of 10 Wonderful,127 verified reviews,9.8/10,9.4/10,9.0/10,9.6/10,9.2/10
Hilton Washington DC Capitol Hill,8.8 out of 10 Excellent,"1,003 verified reviews",9.2/10,9.0/10,8.2/10,8.8/10,8.8/10
Hyatt Regency Washington on Capitol Hill,8.4 out of 10 Very good,"1,407 verified reviews",8.8/10,8.6/10,8.0/10,8.4/10,8.0/10
YOTEL Washington DC,8.4 out of 10 Very good,"1,373 verified reviews",9.2/10,8.6/10,8.2/10,8.8/10,8.8/10
BLACK SWAN - Liz DC - Executive Flat,9.2 out of 10 Wonderful,48 verified reviews,9.4/10,9.0/10,9.4/10,9.4/10,9.4/10
"Kimpton George Hotel, an IHG Hotel",9.0 out of 10 Wonderful,"1,003 verified reviews",9.2/10,9.2/10,8.6/10,9.0/10,8.8/10
"Courtyard by Marriott Washington, DC/Foggy Bottom",9.0 out of 10 Wonderful,"1,001 verified reviews",9.4/10,9.0/10,8.6/10,9.2/10,8.8/10
"Holiday Inn Washington Capitol - Natl Mall, an IHG Hotel",8.4 out of 10 Very good,"3,583 verified reviews",8.8/10,8.6/10,7.8/10,8.4/10,8.2/10
Hilton Washington DC National Mall The Wharf,8.6 out of 10 Excellent,"1,059 verified reviews",9.2/10,8.8/10,8.6/10,9.0/10,8.8/10
Salamander Washington DC,9.2 out of 10 Wonderful,"1,004 verified reviews",9.6/10,9.4/10,9.0/10,9.4/10,9.2/10
Global Luxury Suites at Capitol Hill,8.2 out of 10 Very good,158 verified reviews,9.4/10,7.8/10,8.6/10,9.4/10,8.6/10
Washington Marriott Capitol Hill,8.6 out of 10 Excellent,118 verified reviews,9.6/10,9.0/10,9.0/10,9.2/10,8.8/10
Windsor Inn Hotel,6.8 out of 10 Good,"1,000 verified reviews",7.4/10,7.6/10,6.2/10,6.2/10,7.0/10
Hilton Garden Inn Washington DC/U.S. Capitol,7.8 out of 10 Good,"1,732 verified reviews",8.2/10,8.2/10,7.6/10,8.0/10,7.8/10
Swann House Historic Dupont Circle Inn,9.2 out of 10 Wonderful,160 verified reviews,9.4/10,9.6/10,8.8/10,9.0/10,9.0/10
Hotel Hive,9.2 out of 10 Wonderful,"1,003 verified reviews",9.6/10,9.6/10,8.6/10,9.4/10,9.4/10
Embassy Suites by Hilton Washington DC Georgetown,9.0 out of 10 Wonderful,"1,575 verified reviews",9.2/10,9.2/10,8.8/10,9.2/10,9.0/10
"The Morrow Washington Dc, Curio Collection By Hilton",9.2 out of 10 Wonderful,272 verified reviews,9.6/10,9.4/10,9.4/10,9.6/10,9.4/10
"Courtyard Washington, DC/U.S. Capitol",8.0 out of 10 Very good,"1,005 verified reviews",8.6/10,8.6/10,7.6/10,8.4/10,8.0/10
Park Hyatt Washington,9.4 out of 10 Exceptional,783 verified reviews,9.6/10,9.4/10,8.8/10,9.4/10,8.8/10
"The Westin Georgetown, Washington D.C.",8.8 out of 10 Excellent,"1,000 verified reviews",9.2/10,9.0/10,8.4/10,9.0/10,8.6/10
"Residence Inn Washington, DC/Foggy Bottom",8.6 out of 10 Excellent,924 verified reviews,8.8/10,8.8/10,8.4/10,8.0/10,8.4/10
"Fairmont Washington, D.C., Georgetown",9.4 out of 10 Exceptional,"1,255 verified reviews",9.6/10,9.6/10,9.2/10,9.6/10,9.2/10
"ARC HOTEL Washington DC, Georgetown",8.2 out of 10 Very good,"1,726 verified reviews",8.8/10,8.4/10,7.8/10,8.2/10,8.2/10
"InterContinental Washington D.C. - The Wharf, an IHG Hotel",9.2 out of 10 Wonderful,"1,003 verified reviews",9.8/10,9.4/10,9.0/10,9.6/10,9.4/10
Hyatt House Washington DC/The Wharf,8.8 out of 10 Excellent,"1,240 verified reviews",9.2/10,9.0/10,8.6/10,9.0/10,9.0/10
The River Inn,9.4 out of 10 Exceptional,"1,379 verified reviews",9.4/10,9.6/10,8.8/10,9.0/10,9.0/10
Canopy by Hilton Washington DC The Wharf,9.0 out of 10 Wonderful,"1,000 verified reviews",9.4/10,9.2/10,8.6/10,9.2/10,9.0/10
Generator Hotel Washington DC,7.8 out of 10 Good,912 verified reviews,8.6/10,8.2/10,7.6/10,8.2/10,8.2/10
Washington Hilton,8.0 out of 10 Very good,"1,242 verified reviews",8.6/10,8.6/10,7.8/10,8.2/10,8.2/10
HighRoad Washington DC,9.4 out of 10 Exceptional,385 verified reviews,9.4/10,9.4/10,9.0/10,9.4/10,9.4/10
The Poppy Georgetown,9.2 out of 10 Wonderful,370 verified reviews,9.6/10,9.4/10,8.6/10,9.2/10,9.4/10
"Motel 6 Washington, DC - Convention Center",5.0 out of 10,554 verified reviews,5.4/10,6.0/10,4.6/10,4.6/10,5.0/10
Homewood Suites by Hilton Washington DC NoMa Union Station,8.6 out of 10 Excellent,801 verified reviews,9.0/10,9.0/10,8.0/10,9.0/10,8.4/10
Kellogg Conference Hotel at Gallaudet University,8.0 out of 10 Very good,"1,000 verified reviews",8.6/10,8.4/10,7.4/10,8.0/10,8.2/10
The LINE Hotel DC,9.0 out of 10 Wonderful,900 verified reviews,9.4/10,9.0/10,8.8/10,9.2/10,8.8/10
"Rosewood Washington, D.C.",9.0 out of 10 Wonderful,164 verified reviews,9.6/10,9.4/10,8.8/10,9.2/10,8.8/10
"The Ritz-Carlton Georgetown, Washington, D.C.",9.2 out of 10 Wonderful,238 verified reviews,9.4/10,9.4/10,8.6/10,9.2/10,9.2/10
Homewood Suites by Hilton Washington DC Capitol-Navy Yard,8.6 out of 10 Excellent,"1,000 verified reviews",9.0/10,8.8/10,8.2/10,9.0/10,8.6/10
Residence Inn Washington Capitol Hill/Navy Yard,9.2 out of 10 Wonderful,874 verified reviews,9.6/10,9.4/10,9.2/10,9.6/10,9.2/10
Hampton Inn & Suites Washington DC-Navy Yard,8.6 out of 10 Excellent,"1,003 verified reviews",9.0/10,8.8/10,8.2/10,8.8/10,8.8/10
"Thompson Washington D.C., by Hyatt",9.2 out of 10 Wonderful,612 verified reviews,9.6/10,9.4/10,8.6/10,9.6/10,9.2/10
Cambria Hotel Washington D.C. Navy Yard Riverfront,8.4 out of 10 Very good,"1,065 verified reviews",9.0/10,8.6/10,8.2/10,9.0/10,8.8/10
Omni Shoreham Hotel,8.6 out of 10 Excellent,"1,186 verified reviews",9.0/10,8.8/10,8.6/10,8.6/10,8.6/10
