Hotel,Overall Rating,Total Reviews,Cleanliness,Staff and Service,Amenities,Property Conditions and Facilities,Eco-Friendliness
"Conrad Washington, DC",9.6 out of 10 Exceptional,591 verified reviews,9.6/10,9.6/10,9.4/10,9.6/10,9.4/10
Hilton Garden Inn Washington DC Downtown,8.6 out of 10 Excellent,"1,497 verified reviews",9.0/10,8.8/10,8.2/10,8.6/10,8.6/10
Swann House Historic Dupont Circle Inn,9.2 out of 10 Wonderful,160 verified reviews,9.4/10,9.6/10,8.8/10,9.0/10,9.0/10
"Willard InterContinental Washington, an IHG Hotel",9.6 out of 10 Exceptional,"1,000 verified reviews",9.6/10,9.6/10,9.2/10,9.6/10,9.2/10
Moxy Washington DC Downtown,8.8 out of 10 Excellent,821 verified reviews,9.4/10,9.2/10,8.6/10,9.2/10,9.0/10
Residence Inn Washington Capitol Hill/Navy Yard,9.2 out of 10 Wonderful,874 verified reviews,9.6/10,9.4/10,9.2/10,9.6/10,9.2/10
Hilton Washington DC Capitol Hill,8.8 out of 10 Excellent,"1,003 verified reviews",9.2/10,9.0/10,8.2/10,8.8/10,8.8/10
Sonder Callisto,8.6 out of 10 Excellent,156 verified reviews,9.2/10,9.6/10,8.6/10,8.8/10,8.8/10
Homewood Suites by Hilton Washington DC Capitol-Navy Yard,8.6 out of 10 Excellent,"1,000 verified reviews",9.0/10,8.8/10,8.2/10,9.0/10,8.6/10
Canopy by Hilton Washington DC The Wharf,9.0 out of 10 Wonderful,"1,000 verified reviews",9.4/10,9.2/10,8.6/10,9.2/10,9.0/10
Hilton Club The District Washington D.C.,9.4 out of 10 Exceptional,371 verified reviews,9.6/10,9.4/10,9.2/10,9.4/10,8.8/10
Canopy by Hilton Washington Embassy Row,9.2 out of 10 Wonderful,368 verified reviews,9.4/10,9.4/10,8.8/10,9.4/10,9.2/10
Hyatt House Washington DC/The Wharf,8.8 out of 10 Excellent,"1,241 verified reviews",9.2/10,9.0/10,8.6/10,9.0/10,9.0/10
AC Hotel by Marriott Washington DC Capitol Hill Navy Yard,8.6 out of 10 Excellent,353 verified reviews,9.2/10,8.8/10,8.2/10,9.0/10,8.8/10
AC Hotel by Marriott Washington DC Downtown,9.2 out of 10 Wonderful,652 verified reviews,9.6/10,9.2/10,9.0/10,9.6/10,9.0/10
