Hotel,Overall Rating,Total Reviews,Cleanliness,Staff and Service,Amenities,Property Conditions and Facilities,Eco-Friendliness
Blue Heron Motel,7.8 out of 10 Good,101 verified reviews,8.4/10,8.2/10,7.4/10,7.6/10,7.4/10
Microtel Inn & Suites by Wyndham Cherokee,8.0 out of 10 Very good,"1,003 verified reviews",8.2/10,8.4/10,7.6/10,7.8/10,8.4/10
Wingate by Wyndham State Arena Raleigh/Cary,8.2 out of 10 Very good,"1,000 verified reviews",8.4/10,8.6/10,8.0/10,8.2/10,8.0/10
Island Guesthouse and Motel,9.6 out of 10 Exceptional,255 verified reviews,9.8/10,9.8/10,9.0/10,9.6/10,9.4/10
Drury Inn & Suites Burlington,9.6 out of 10 Exceptional,"1,000 verified reviews",9.6/10,9.6/10,9.6/10,9.6/10,9.4/10
"The Historic Brookstown Inn, Trademark Collection by Wyndham",9.4 out of 10 Exceptional,"1,001 verified reviews",9.6/10,9.6/10,9.2/10,9.2/10,9.0/10
Courtyard by Marriott Charlotte Gastonia,7.4 out of 10 Good,"1,006 verified reviews",7.8/10,8.2/10,7.0/10,7.8/10,7.4/10
Country Inn & Suites by Radisson Asheville River Arts District,9.0 out of 10 Wonderful,"1,002 verified reviews",9.2/10,9.2/10,9.0/10,9.0/10,8.6/10
Microtel Inn & Suites by Wyndham Statesville,7.4 out of 10 Good,"1,004 verified reviews",7.6/10,7.8/10,6.8/10,7.2/10,7.4/10
GLō Hotel Asheville-Blue Ridge Parkway,9.2 out of 10 Wonderful,"1,093 verified reviews",9.6/10,9.4/10,9.2/10,9.4/10,9.2/10
Atrium Inn,8.2 out of 10 Very good,284 verified reviews,8.6/10,8.8/10,7.0/10,8.0/10,8.0/10
Boxwood Lodge,8.8 out of 10 Excellent,138 verified reviews,9.2/10,9.0/10,7.8/10,8.6/10,8.4/10
Super 8 by Wyndham Black Mountain,8.0 out of 10 Very good,295 verified reviews,8.0/10,8.8/10,7.2/10,7.6/10,7.6/10
"Coastal Inn & Suites - Wilmington, NC",7.0 out of 10 Good,360 verified reviews,6.8/10,8.2/10,6.2/10,6.4/10,6.8/10
Sonesta Select Durham Research Triangle Park,7.8 out of 10 Good,"1,002 verified reviews",8.2/10,8.6/10,7.0/10,8.0/10,7.6/10
